HOOP IQ — Master Project Timeline,,,,,,
"CECS490A/B  •  Team 2  •  California State University, Long Beach  •  Fall 2025 – Spring 2026",,,,,,
,,,,,,
#,Week,Dates,Phase / Milestone,Tasks & Accomplishments,Status,Notes / Deviations
26,Week 10,Mar 23 – Mar 27,?? Demo 2 — Computer Vision Subsystem,Demo 2 completed. Live ball detection and dual-stream camera architecture demonstrated. Logitech C922x ? Rust+OpenCV processing stream + RTSP broadcast both operational. Ball trajectory overlay confirmed live on dashboard.,? On Schedule,Demo 2: PASS. CV subsystem met all planned targets.
27,Week 11,Mar 30 – Apr 3,Backend & Dashboard Integration,"Flask backend on Render validated with full session data flow. Dashboard displaying shot log, statistics, shot type breakdown, shooting percentage, heatmap, and zone percentages. Real-time API polling confirmed.",? On Schedule,—
28,Week 12,Apr 6 – Apr 10,Backend & Dashboard Integration,"Session management, counter reset, and export functionality validated end-to-end. Dashboard UI polished. API endpoint error handling added. Render deployment confirmed stable under continuous use.",? On Schedule,—
29,Week 13,Apr 13 – Apr 17,?? Demo 3 — Web/App Subsystem,"Demo 3 completed. Backend + dashboard integration demonstrated with mock and live data. Shot log, stats, heatmap, and CSV export all confirmed functional. Real-time data flow from Render to hoopiq.shop confirmed.",? On Schedule,Demo 3: PASS. All dashboard targets met.
30,Week 14,Apr 20 – Apr 24,Full System Integration & Cleanup,All subsystems integrated simultaneously in real-world shooting conditions. Latency measured end-to-end (sensor event to dashboard update). System stability tested over 30+ minutes of continuous operation. Dashboard UI final polish begun.,? On Schedule,—
31,Week 15,Apr 27 – May 1,"Final Integration, Polish & Demo 4 Prep","Final three weeks of integration and cleanup completed. Dashboard fully polished and stabilized for expo. Hoop sensor, Pi, Tailscale tunnel, Flask backend, and hoopiq.shop all confirmed running simultaneously. Demo 4 dry runs completed.",? On Schedule,Final system state confirmed ready for Demo 4 and Expo.
32,Week 16,May 4 – May 4,?? Demo 4 — Final Integrated Demo (5/4/26),"Final integrated system demonstration. Full end-to-end real-time operation: hoop sensing + CV pipeline + live dashboard. [INSERT: shot count, make accuracy, and latency measured at demo]",?? ,Demo 4 scheduled 5/4/26. 
33,Week 17,May 5 – May 9,?? Senior Project Expo (5/7/26),"Hoop IQ presented at CSULB Senior Project Expo. Full working system demonstrated live: hoop assembly, Raspberry Pi, camera, and dashboard accessible from any browser. [INSERT: expo observations and outcomes]",?? ,Expo: 5/7/26. 
,,,,,,
PROJECT SUMMARY,,,,,,
,Total Weeks Tracked,,,33 weeks (16 × Semester 1 + 17 × Semester 2),,
,On Schedule,,,27 weeks,,
,Adjusted / Minor Delay,,,"3 weeks (Oct 6–24, Sem 1 Wks 7–9 — procurement pivot)",,
,Delayed,,,"1 week (Oct 6–10, Sem 1 Wk 7 — university procurement)",,
,In Progress / Upcoming,,,2 weeks (Demo 4: 5/4/26  •  Expo: 5/7/26),,
,Subsystem Demos,,,"Demo 1 ? (Feb 2026)  •  Demo 2 ? (Mar 2026)  •  Demo 3 ? (Apr 2026)  •  Demo 4 ?? (May 4, 2026)",,
,Senior Project Expo,,,"May 7, 2026 — CSULB",,
,Stretch Goals,,,"Shot Zone Classification ?  |  Heatmap ?  |  CSV Export ?  (all completed Wks 6–7, ahead of schedule)",,
